Predicted category 1,Predicted category 2,Predicted category 3,Complaint Description
Garbage not lifted from co-authorised collection point,Collection point not attended properly,Garbage not lifted from house gully,Garbage collector is not coming to collect household wastes\nPeople are dumping garbage on road leading to foul smell  mosquito problem and infections. Please take necessary action
Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole,Please provide bus shelters. Its the most minimal request by commutes.
Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain,2 days complete power cut in Annasandra Palya HAL. Till now no action has taken from BESCOM
Repairs re-surfacing of roads footpaths,Repairs to pipe sewers main sewers,Removal of Debris,The roads were dug to lay the drainage pipes and after laying of pipe  the roads are not asphalted. I stay at 2nd CROSS  Tunganagar East  Magadi Main road  Bangalore 560091
Drainage chokes and blockages,Municipal Land - Road   Footpath   Strom Water Drain,Private Land   Building   Society   Factories,Next to my place there are 2 sites which connects 2 roads. These 2 sites are illegally used as a pathway & people urinate  throw garbage  spit & have made it a smoking zone. The area is a residential one & this is creating a lot of trouble. When questioned  the people threaten. This is becoming a daily nonsense & creating a lot of health issues to surrounding houses.
Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain,Hi ichangemycity \nThere is lot of dust near K.G Road this is coming because the BMTC buses are speeding too much. Please resolve ASAP
Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain,Hi ichangemycity \nThere is a lot of garbage in Nehru nagar near the Girder Bridge. When the truck comes in to pick the waste it also drops some of the very stinky liquid please resolve ASAP.
Person falling in Manhole,Unauthorised Stalls and Huts on nallas,Bad Patches,HI \n\nI would like to address the bad service road conditions from Iblur Junction to B Narayanapura In both the diretions. Service roads are not maintained properly It\'s full of path holes so  most of the road is acquired by 2 wheeler 4 Wheeler  Lorry parking and Also used for construction material dumping. \n\nIt will be very much helpful if you can repair these roads so that vehicles can access these roads.
Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain,There is power cut for more than 24 hrs and we are not able to lead a normal life  even we are not getting drinking water as filters don\'t work without electricity  its a very basic and important requirement  I really can\'t understand why it takes more than a day to rectify electrical issues caused by rain or storm  we stay in a city and pay tax every year and we really deserve these small needs.\n\nThank you
Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain,Hi ichangemycity   BMTC buses are speeding a lot near K.G Road please resolve this problem ASAP.
Bad Patches,Major repairs to municipal property,Minor repairs to municipal property,We have been living in #6 9th A cross Vinayaka layout Sultan Palya since 1992 till date our children face problem as the concreate road made is slanted not straight even the quality of road made is really bad to add to the woe street dogs shit around in all the pots hole in the road please help us out of this stinky situation my mobile no is 9845994173 Manoranyapalya
Shortage of water supply,Contaminated water supply,Leaks in water lines,1 st Cross Satosh Nagar side by Airforce Compound wall is a fully developed area. There is no water supply to 5 houses in 1 st Cross since last 3+yrs We have met the Corporator several time. He assured immediate water supply but never took any action to supply the water nor took action against Mr.Raju who regulate the water according to his will. Raju\'s Number is 9008425648 We are paying taxes and fully depend on Water Tankers since three + years Please provide water immediately.
Municipal Land - Road   Footpath   Strom Water Drain,Bad Patches,Person falling in Manhole,Garbage has piled up in the Dust Bin in front of Manipal Vista & Kamala Mansion.The same has not been removed for the last 3 days.Ragpickers & Street Dogs spill the garbage all over the place.Pl arrange to clear the garbage on a regular basis.
Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property,We are staying in Anjanadri Enclave. BBMP authorities have not put a single street light for the last 6 years. Our layout people contributed and put street lights on our own. Some of them have gone bad. We have been requesting corporator and KEB for new street lights in our areaa. It is becoming difficult to come outside in night time. Also street light repair people are not coming regularly. We have to follow up 10 to 15 times to repair existing street lights - Sivarama Krishnaiah  9538881333
Drainage chokes and blockages,Repair to damaged open SWD,Repairs to pipe sewers main sewers,Anjanadri Enclave is having a common Sewerage tank. Entire layout sanitary connections are connected to this tank. For the last few months  this tank was full and leaking into surrounding areas. Neighbouts in that area are complaining about this one. We request authorities to connect this tank to drainage line in Vadra Palya - Sivarama Krishnaiah  9538881333
Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property,Dear Sir/Mam  I understand that even you might have come across many instances of street dog bites there are people still suffering from such dog bites which are very harmfull and dangerous please pick such animals as they are growing tremendously please follow up on my request. Thank you
Collection point not attended properly,Silt to be lifted on road,Garbage not lifted from co-authorised collection point,I suppose the whole of the city can have markers to locate my complaint. There is no proper place to dump the garbage in any locality. Of course we have persons to collect the garbage from every house but they do not have a proper place to converge and dispose. I would like to know why the BBMP is not stirctly enforcing the segregation of waste generated at source. This can reduce so much of garbage on the roads and also reduce the need for so much of landfills. Please be considerate.
Unauthorised Food Selling   Preparation,Hawkers,Municipal Land - Road   Footpath   Strom Water Drain,The drains in the LB Shastrinagar Area are mostly overflowing (Specially in 2nd Cross and 3rd Main Area) with the dirt and Garbage and cleaned very irregularly. This is a big threat to the people staying this area. The situation is even worse since the digging has started for the Sweage as a lot of mud is going and choking the drains. BBMP need to get these cleaned regularly else it can lead to some epidemic in the area.
Online Renewal Application,Issue of Birth   Death Certificate,Person falling in Manhole,"I submitted my application for Ration Card at the Basham Circle office  along with Surrender Certificate from Pune  on July 15  2011  Online application on 1st day of registration Nov 19  2011  a reminder mail regarding our status on May 1  2012 being \""Please wait for field verification\""  and a request mail regarding further action to be taken when the status suddenly changed to \""..App no. 102920 .. verified and rejected due to : Wrong Address/Member details\""  but without any response whatsoever"
Proper electric supply to municipal properties,Major repairs to municipal property,Minor repairs to municipal property,Issue with Street Dogs and Street Lights very much troubling us in this area  Can you please help in this regard. Regards  Malla Reddy
Garbage not lifted from co-authorised collection point,Garbage not lifted from house gully,Sweeping of road,From past two weeks garbage is being dumped near our house and the concerned people are not bothered to clear the same. Now its starting to stink and is becoming a health hazard.\nKINDLY ARRANGE TO CLEAR UP THE SAME AT THE EARLIEST!!!
Garbage not lifted from house gully,Garbage not lifted from co-authorised collection point,Collection point not attended properly,Garbage dump. Ever-existing.
Drainage chokes and blockages,Overflowing drains or manholes,Odour  foul smell  from drains,Drainage waste has not been cleared from the road. Its the 4th day now.
Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole,Want more number of buses from electronic city towards marathalli side
Providing removing replacing dustbins,Removal of Debris,Collection point not attended properly,In spite of posting a compliant no improvement has happened on garbage collection in ward no 25 Andhra munireddy layout  Meghanapalya  Chelekere  Kalyanagar post . Earlier garbage used to be collected on alternate days now it is collected once in 3-5 days. Though we spoke to BBMP officer as per your SMS situation remains the same and for coming once in a week they expect us to segregate waste. We are forced to keep garbage at home for 5 days \n\nI
Minor repairs to municipal property,Drainage chokes and blockages,Person falling in Manhole,Poor drainage causing swamp and drain water overflowing on the main footpath. Have been there since months and its just a matter of time that someone gets seriously hurt
Bad Patches,Municipal Land - Road   Footpath   Strom Water Drain,Minor repairs to municipal property,We understood that everyday we are supposed to post a complaint against BESCOM till they are 100% at their power supply. \n\nWe lose our temper when in hot summer there is a power cut !\n\nBescom don\'t call me back just fix your issue of powercuts on hot summer and during rainy days. Its 2015 whole world is advanced when will you ?
